country,short_name,names,id,latitude,longitude,gtng_region,glims_id,rgi50_ids,rgi60_ids,rgi70_ids,wgi_id,parent_glacier_id,references,remarks
PK,AGHOST BAR GLACIER,,16218,36.628399,73.107903,14_south_asia_west,,RGI50-14.02261,RGI60-14.02261,,,,,Information derived from RGI5.0. | GLIMS_ID: G073108E36628N (invalid)
PK,ALING,,1630,35.470001,76.220001,14_south_asia_west,,,,,,,,"INFORMATION REFERS ESPECIALLY TO TRIBUTARY; VERY POOR TOPOGRAPHICAL MAP. Entry from former field AUTHORS: ""K. HEWITT"""
PK,BALOCHO GLACIER,,16434,36.004799,75.173103,14_south_asia_west,,RGI50-14.04690,RGI60-14.04690,,,,,Information derived from RGI5.0. | GLIMS_ID: G075173E36005N (invalid)
PK,BALTAR,,9314,36.458302,74.464302,14_south_asia_west,,RGI50-14.02653,,,,,,Glacier info from Sevestre & Benn (2015) | GLIMS_ID: G074464E36458N (invalid) from Sevestre & Benn (2015)
PK,BALT BARE BALTBAR,,9322,36.338902,74.934898,14_south_asia_west,,RGI50-14.03837,,,,,,Glacier info from Sevestre & Benn (2015) | GLIMS_ID: G074935E36339N (invalid) from Sevestre & Benn (2015)
PK,BALTORO,,991,35.75,76.330002,14_south_asia_west,,RGI50-14.06794,,,,,,"INFORMATION REFERS TO LILIGO TRIBUTARY; Entry from former field AUTHORS: ""K. HEWITT, J. BARLOW"" | WGI_ID: PK5Q15012014 (invalid)"
PK,BALTORO GLACIER,,16675,35.7416,76.404701,14_south_asia_west,,RGI50-14.06794,RGI60-14.06794,,,,,Information derived from RGI5.0. | GLIMS_ID: G076405E35742N (invalid)
PK,BARPU,,989,36.119999,74.800003,14_south_asia_west,,RGI50-14.04508,,,,,,WGI_ID: PK5Q14201006 (invalid)
PK,BARPU GLACIER,,15933,36.067299,74.817101,14_south_asia_west,,RGI50-14.00032,RGI60-14.00032,,,,,Information derived from RGI5.0. | GLIMS_ID: G074817E36067N (invalid)
PK,BATURA,,990,36.57,74.580002,14_south_asia_west,,RGI50-14.05476,,,,,,WGI_ID: PK5Q14200002 (invalid)
PK,BAZHIN,,978,35.225941,74.637306,14_south_asia_west,,RGI50-14.20029,RGI60-14.20029,,,,,GLIMS_ID: G074637E35226N (invalid) | WGI_ID: PK5Q13021504 (invalid)
PK,BIAFO GLACIER,,15931,36.006401,75.593201,14_south_asia_west,,RGI50-14.00005,RGI60-14.00005,,,,,Information derived from RGI5.0. | GLIMS_ID: G075593E36006N (invalid)
PK,BIAFO GYANG,,988,35.919998,75.720001,14_south_asia_west,,RGI50-14.00005,,,,,,WGI_ID: PK5Q15012007 (invalid)
PK,BILAFOND GLACIER,,16578,35.209801,76.935997,14_south_asia_west,,RGI50-14.05872,RGI60-14.05872,,,,,Information derived from RGI5.0. | GLIMS_ID: G076936E35210N (invalid)
